Account,GameNumber,Date,StartTime,DayOfWeek,HourOfDay,GameOfDay,GameOfWeek,TimeControl,MyElo,OppElo,Color,ECO,Result,Termination,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResult,2ndLastResult,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,MyCastlingMove,OppCastlingMove,TimeSinceLast
Cosmos_IV,49,2020-06-05,01:49:23,6,2,7,7,600,935,988,white,A40,lost,resignation,Yes,Yes,No,No,No,lost,won,8,8,62.9,21.8,7.86,2.72,7,N/A,255.50
Cosmos_IV,50,2020-06-05,01:50:56,6,2,8,8,600,943,923,white,D00,won,resignation,Yes,Yes,No,No,Yes,lost,lost,38,38,340.8,355.4,8.97,9.35,10,10,30.10
Cosmos_IV,51,2020-06-05,16:26:34,6,17,9,9,600,934,923,black,C62,lost,checkmate,Yes,No,Yes,Yes,No,won,lost,17,18,158.9,108.8,9.35,6.04,8,9,52197.20
Cosmos_IV,52,2020-06-05,16:31:20,6,17,10,10,600,942,914,white,A45,won,checkmate,No,No,No,No,No,lost,won,30,29,207.2,341.5,6.91,11.78,N/A,N/A,127.10
Cosmos_IV,53,2020-06-05,17:59:08,6,18,11,11,600,935,983,black,C76,lost,resignation,No,No,Yes,Yes,No,won,lost,25,26,241.2,91.7,9.65,3.53,14,5,5060.80
Cosmos_IV,54,2020-06-05,18:44:55,6,19,12,12,600,943,946,black,C41,won,resignation,Yes,No,Yes,Yes,No,lost,won,28,28,490.4,514,17.51,18.36,8,13,2505.80
Cosmos_IV,55,2020-07-18,23:59:16,7,24,1,1,600,939,1200,black,C46,lost,resignation,No,No,No,No,No,won,lost,12,13,112.7,127.1,9.39,9.78,N/A,N/A,3733570.60
Cosmos_IV,56,2020-07-19,00:05:03,1,1,2,2,600,935,1204,white,D00,lost,resignation,Yes,Yes,No,Yes,No,lost,won,44,44,500.3,247.4,11.37,5.62,9,15,234.30
Cosmos_IV,57,2020-07-19,19:29:41,1,20,3,3,600,953,1186,black,C47,won,resignation,Yes,Yes,No,Yes,No,lost,lost,36,37,494.3,434.7,13.73,11.75,10,13,69377.70
Cosmos_IV,58,2020-07-19,19:49:15,1,20,4,4,600,949,1190,white,D00,lost,resignation,Yes,No,Yes,Yes,No,won,lost,26,26,309.1,375.9,11.89,14.46,14,14,679.70
Cosmos_IV,59,2020-07-19,20:01:26,1,21,5,5,600,959,932,black,C45,won,resignation,Yes,Yes,No,No,No,lost,won,45,46,524.6,293.9,11.66,6.39,15,N/A,421.90
Cosmos_IV,60,2020-07-21,16:00:34,3,17,1,6,600,949,989,black,A40,lost,resignation,Yes,Yes,No,Yes,No,won,lost,25,26,312.3,249.7,12.49,9.6,9,11,157823.40
